prefix,middle,suffix,completion
"/* eslint-disable camelcase */
/* eslint-disable sonarjs/no-duplicate-string */
import { t } from 'i18next'
import { z } from 'zod'

export const companyNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const companyTagValidator = z
  .string()
  .min(1, t('common.validator.requiredField'))
  .min(3, t('register.validator.minCompanyTag'))

export const companyVatIdValidator = z
  .string()
  .min(1, t('common.validator.requiredField'))
  .max(10, t('register.validator.maxVatId'))

export const firstNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const lastNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const emailValidator = z.string().email(t('common.validator.validateEmail'))

export const phoneNumberValidator = z
  .string()
  .regex(
    new RegExp(/^\+\d{1,3}\s?\d{1,4}[\s.-]?\d{3}[\s.-]?\d{3,4}$/),
    t('common.validator.validatePhone'),
  )

export const passwordValidator = z.string().min(8, t('register.validator.minPasswd'))

export const confirmPasswordValidator = z.string()

export const termsValidator = z.boolean({
  required_error: t('register.validator.requiredTerms'),
})

export const registrationSchema = z
  .object({
    companyName: companyNameValidator,
    companyTag: companyTagValidator,
    companyVatId: companyVatIdValidator,
    firstName: firstNameValidator,
    lastName: lastNameValidator,
    email: emailValidator,
    phoneNumber: phoneNumberValidator,
    password: passwordValidator,
    confirmPassword: confirmPasswordValidator,
    terms: termsValidator,
  })
  .refine((data) => data.password === data.confirmPassword, {
    path: ['confirmPassword'],
    message: t('register.validator.passwordsDoNotMatch'),
  })

export const validateConflicts = (msg: string) => {",  if (msg.includes('email')) {,"    return 'email'
  } else if (msg.includes('tag')) {
    return 'tag'
  }
  return 'error'
}
",t('register.validator.conflicts') => msg.message || 'already
"import { useTranslation } from 'react-i18next'
import { toast } from 'react-toastify'

import { useAuth } from '@/auth'
import { useCheckoutMutation } from '@/shared/api/paymentsQuery'
import { useGetProductsQuery } from '@/shared/api/productsQuery'
import Skeleton from '@/shared/components/skeleton/Skeleton'
import LoadingWrapper from '@/shared/components/wrapper/LoadingWrapper'
import { PageWrapper } from '@/shared/components/wrapper/PageWrapper'
import { IProduct } from '@/shared/model/products'

import { ProductCard } from './components/ProductCard'
import { ProductsWrapper } from './productsElements'
import useDimBreakpoints from '@/shared/utils/useDimBreakpoints'

const Products = () => {
  const { t } = useTranslation()
  const auth = useAuth()
  const { md } = useDimBreakpoints()
  const { data: products, isLoading } = useGetProductsQuery('pl')
  const { mutateAsync: checkoutMutation } = useCheckoutMutation()

  const handleCheckout = (productId: string) => {
    if (!auth.decodedUser) throw new Error('No user')
    return toast.promise(
      checkoutMutation({
        customerId: auth.decodedUser?.id,
        productId,
        paymentMethodTypes: ['card'],
      }).then((res) => {
        window.location.href = res.url
      }),
      {
        pending: t('products.toast.pending'),
        success: t('products.toast.success'),
        error: t('products.toast.checkoutErr'),
      },
    )
  }

  if (isLoading || !products) {
    return (
      <LoadingWrapper>
        <Skeleton
          repeat={1}
          fullWidth
        />
        <Skeleton
          height={md ? 500 : 300}
          width={md ? 300 : 1000}
        />
      </LoadingWrapper>
    )
  }

  return (
    <PageWrapper>
      <h1 className='page-wrapper-gradient'>{t('products.title')}</h1>
      <ProductsWrapper>
        {products.map((product: IProduct, idx: number) => {
          return (
            <ProductCard
              key={idx}
              index={idx}
              name={product.name}
              description={product.shortDescription}
              price={product.prize}",              onCheckout={handleCheckout},"            />
          )
        })}
      </ProductsWrapper>
    </PageWrapper>
  )
}

export default Products
",}
"import { motion } from 'framer-motion'

export const LoginBlob = () => (
  <svg
    width='760'
    height='675'
    viewBox='0 -60 760 760'
    fill='none'
    xmlns='http://www.w3.org/2000/svg'
    preserveAspectRatio='xMidYMid slice'
  >
    <g filter='url(#filter0_d_2_18)'>
      <motion.path
        d='M727.133 121.085C771.85 204.659 719.308 335.755 647.76 445.548C576.213 555.887 486.778 644.377 372.191 658.033C257.603 671.688 118.98 611.056 51.9038 503.448C-15.172 396.387 -10.1413 242.349 59.7293 145.119C129.041 47.8898 262.634 7.4685 401.257 4.73734C539.321 2.5524 682.416 38.0576 727.133 121.085Z'
        fill='url(#paint0_linear_2_18)'
        preserveAspectRatio='xMidYMid slice'
        animate={{
          rotate: [0, 2, -8, 0],
        }}
        transition={{
          duration: 10,
          repeat: Infinity,
          repeatType: 'loop',
          ease: 'easeInOut',
        }}
      />
    </g>
    <defs>
      <filter
        id='filter0_d_2_18'
        x='0.748632'
        y='-10'
        width='758.518'
        height='974.494'",        filterUnits='userSpaceOnUse',"        colorInterpolationFilters='sRGB'
      >
        <feFlood
          floodOpacity='0'
          result='BackgroundImageFix'
        />
        <feColorMatrix
          in='SourceAlpha'
          type='matrix'
          values='0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 0'
          result='hardAlpha'
        />
        <feOffset
          dx='6'
          dy='5'
        />
        <feGaussianBlur stdDeviation='4.8' />

        <feColorMatrix
          type='matrix'
          values='0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0'
        />
        <feBlend
          mode='normal'
          in2='BackgroundImageFix'
          result='effect1_dropShadow_2_18'
        />
        <feBlend
          mode='normal'
          in='SourceGraphic'
          in2='effect1_dropShadow_2_18'
          result='shape'
        />
      </filter>
      <motion.linearGradient
        id='paint0_linear_2_18'
        x1='79.5'
        y1='34.5'
        x2='374.008'
        y2='659.937'
        gradientUnits='userSpaceOnUse'
      >
        <stop
          stopColor='#25E0FF'
          stopOpacity='0.79'
        />
        <stop
          offset='0.885'
          stopColor='#2B67AB'
          stopOpacity='0.95'
        />
      </motion.linearGradient>
    </defs>
  </svg>
)
",opacity='0.79'
"import { useEffect, useState } from 'react'

import { commonTheme } from '../theme/commonTheme'

const useDimBreakpoints = () => {
  const [matches, setMatches] = useState({
    xs: false,
    s: false,
    md: false,
    lg: false,
    xl: false,
    xxl: false,
    xxxl: false,
  })

  useEffect(() => {
    const breakpoints = commonTheme.breakpoint
    const mediaQueries = {
      xs: window.matchMedia(`(max-width: ${breakpoints.xs})`),
      s: window.matchMedia(`(max-width: ${breakpoints.s})`),
      md: window.matchMedia(`(max-width: ${breakpoints.md})`),
      lg: window.matchMedia(`(max-width: ${breakpoints.lg})`),
      xl: window.matchMedia(`(max-width: ${breakpoints.xl})`),
      xxl: window.matchMedia(`(max-width: ${breakpoints.xxl})`),
      xxxl: window.matchMedia(`(max-width: ${breakpoints.xxxl})`),
    }

    const handleMediaQueryChange = () => {
      setMatches({
        xs: mediaQueries.xs.matches,
        s: mediaQueries.s.matches,
        md: mediaQueries.md.matches,
        lg: mediaQueries.lg.matches,
        xl: mediaQueries.xl.matches,
        xxl: mediaQueries.xxl.matches,
        xxxl: mediaQueries.xxxl.matches,
      })
    }

    handleMediaQueryChange()

    for (const mq of Object.values(mediaQueries)) {
      if (mq.addEventListener) {
        mq.addEventListener('change', handleMediaQueryChange)
      } else {
        mq.addListener(handleMediaQueryChange)
      }
    }

    return () => {
      for (const mq of Object.values(mediaQueries)) {
        if (mq.removeEventListener) {","          mq.removeEventListener('change', handleMediaQueryChange)","        } else {
          mq.removeListener(handleMediaQueryChange)
        }
      }
    }
  }, [])

  return matches
}

export default useDimBreakpoints
",}
"/* eslint-disable eslint-comments/no-use */
import { ChangeEvent } from 'react'

import { Size } from '@/shared/model/common'

import { Input, InputError, InputLabel, InputWrapper } from './InputFile.styled'

interface InputFileProps {
  id: string
  onChange: (v: FileList) => void
  // eslint-disable-next-line @typescript-eslint/no-explicit-any
  onClick?: (v: any) => void
  onBlur?: () => void
  error?: string
  label?: string
  disabled?: boolean
  size?: Size
  fullWidth?: boolean
  required?: boolean
  multiple?: boolean
  accept?: string
}

const InputFile = ({
  id,
  onChange,
  onClick,
  onBlur,
  error,
  label,
  disabled,
  size = 'md',
  fullWidth = false,
  required,
  multiple,
  accept,",}: InputFileProps) => {,"  const handleChange = (event: ChangeEvent<HTMLInputElement>) => {
    event.target.files && onChange(event.target.files)
    //TODO request to post file to server
  }

  const handleClick = (event: React.MouseEvent<HTMLInputElement>) => {
    onClick?.(event.target)
  }

  const handleBlur = () => {
    onBlur?.()
  }

  return (
    <InputWrapper $fullWidth={fullWidth}>
      {label && (
        <InputLabel
          htmlFor={id}
          $size={size}
        >
          {label}
          {required && '*'}
        </InputLabel>
      )}
      <Input
        id={id}
        type='file'
        onChange={handleChange}
        onClick={handleClick}
        onBlur={handleBlur}
        disabled={disabled}
        multiple={multiple}
        accept={accept}
        $size={size}
      />
      <InputError>{error}</InputError>
    </InputWrapper>
  )
}

export default InputFile
","size = 'large',"
"import {
  arrow,
  flip,
  FloatingPortal,
  shift,
  useDismiss,
  useFloating,
  useFocus,
  useHover,
  useInteractions,
  useRole,
} from '@floating-ui/react'
import { useRef, useState } from 'react'

import { TooltipArrow, TooltipContent, TooltipWrapper } from './tooltipElements'

export interface ITooltip {
  children: JSX.Element[] | JSX.Element
  content: string
  placement?:
    | 'top'
    | 'right'
    | 'bottom'
    | 'left'
    | 'top-start'
    | 'top-end'
    | 'right-start'
    | 'right-end'
    | 'bottom-start'
    | 'bottom-end'
    | 'left-start'
    | 'left-end'
}

const Tooltip = ({ children, content, placement }: ITooltip) => {
  const arrowRef = useRef(null)
  const [isOpen, setIsOpen] = useState(false)

  const { refs, floatingStyles, context } = useFloating({
    open: isOpen,","    onOpenChange: setIsOpen,","    middleware: [
      arrow({
        element: arrowRef,
      }),
      flip(),
      shift(),
    ],
    placement,
  })

  const hover = useHover(context, {
    delay: {
      open: 200,
      close: 100,
    },
  })

  const role = useRole(context, {
    role: 'tooltip',
  })

  const focus = useFocus(context)

  const dismiss = useDismiss(context)

  const { getReferenceProps, getFloatingProps } = useInteractions([hover, role, focus, dismiss])

  return (
    <>
      <TooltipWrapper
        ref={refs.setReference}
        {...getReferenceProps()}
      >
        {children}
      </TooltipWrapper>
      {isOpen && (
        <FloatingPortal>
          <TooltipContent
            ref={refs.setFloating}
            style={floatingStyles}
            {...getFloatingProps()}
          >
            {content}
            <TooltipArrow
              ref={arrowRef}
              context={context}
            />
          </TooltipContent>
        </FloatingPortal>
      )}
    </>
  )
}

export default Tooltip
","close: isOpen,"
"import { queryOptions, useQuery } from '@tanstack/react-query'

import { ICustomer, ILicenseRes } from '../model/customers'
import { api } from './api'

export const useGetCustomerId = (customerTag?: string) => {
  return useQuery({
    queryKey: ['customerId', customerTag],
    enabled: !!customerTag,
    queryFn: async () => {
      const { data } = await api.get<{ customerId: string }>(`/portal/customer-id`, {
        params: { customerTag },
      })
      return data
    },
  })
}

export const useGetLicensesQuery = (active?: boolean) => {
  return useQuery({
    queryKey: ['licenses', 'own-license', active],
    queryFn: async () => {
      const { data } = await api.get<ILicenseRes>(`/portal/licenses`, {
        params: { active },
      })
      return data.licenses
    },
  })
}

export const useGetLicensesByIdQuery = (id: string) => {
  return queryOptions({
    queryKey: ['licenses', id],
    queryFn: async () => {
      const { data } = await api.get<ILicenseRes>(`/portal/customers/${id}/licenses`)
      return data
    },
  })
}

export interface IProfileRes {
  customer: ICustomer
}

export const useGetUserProfile = () => {
  return useQuery({","    queryKey: ['userProfile'],","    queryFn: async () => {
      const { data } = await api.get<IProfileRes>(`/portal/profile`)
      return data.customer
    },
  })
}
","'customer': customer },"
"import { useNavigate } from '@tanstack/react-router'
import { useTranslation } from 'react-i18next'
import { AiFillProduct } from 'react-icons/ai'
import { CgProfile } from 'react-icons/cg'
import { GrLicense } from 'react-icons/gr'

import { useAuth } from '@/auth'
import { router } from '@/main'
import { PageWrapper } from '@/shared/components/wrapper/PageWrapper'

import { HomeWrapper, MyProductsBlock, ProductsBlock, ProfileBlock } from './homeElements'

const Home = () => {
  const { t } = useTranslation()
  const { decodedUser } = useAuth()
  const navigate = useNavigate({ from: '/' })

  return (
    <PageWrapper>
      <h1 className='page-wrapper-gradient'>
        {t('home.title')}
        {decodedUser?.firstName && ` ${decodedUser?.firstName}`}!
      </h1>
      <HomeWrapper>
        <ProductsBlock
          whileTap={{ scale: 0.99 }}
          whileHover={{ scale: 1.01 }}
          onClick={() => navigate({ to: '/products' })}
          onHoverStart={() => router.preloadRoute({ to: '/products' })}
        >
          <div>
            <h2>{t('home.products.title')}</h2>
            <p>{t('home.products.desc')}</p>
          </div>
          <div className='home home-icon'>
            <AiFillProduct />
          </div>
        </ProductsBlock>
        <MyProductsBlock
          whileTap={{ scale: 0.99 }}
          whileHover={{ scale: 1.01 }}
          onClick={() => navigate({ to: '/myProducts' })}
          onHoverStart={() => router.preloadRoute({ to: '/myProducts' })}
        >
          <div>
            <h2>{t('home.myProducts.title')}</h2>
            <p>{t('home.myProducts.desc')}</p>
          </div>
          <div className='home home-icon'>
            <GrLicense />
          </div>
        </MyProductsBlock>
        <ProfileBlock
          whileTap={{ scale: 0.99 }}
          whileHover={{ scale: 1.01 }}
          onClick={() => navigate({ to: '/profile' })}
          onHoverStart={() => router.preloadRoute({ to: '/profile' })}
        >
          <div className='home home-bento-vertical'>
            <h2>",              {t('home.profile.title')},"              {decodedUser?.companyName &&
                decodedUser?.customerTag &&
                `: ${decodedUser?.companyName} - ${decodedUser?.customerTag}`}
            </h2>
            <p>{t('home.profile.desc')}</p>
          </div>
          <div className='home home-icon home-bento-vertical'>
            <CgProfile />
          </div>
        </ProfileBlock>
      </HomeWrapper>
    </PageWrapper>
  )
}

export default Home
",</h2>
"import { queryOptions, useQuery } from '@tanstack/react-query'

import { ICustomer, ILicenseRes } from '../model/customers'
import { api } from './api'

export const useGetCustomerId = (customerTag?: string) => {
  return useQuery({
    queryKey: ['customerId', customerTag],
    enabled: !!customerTag,
    queryFn: async () => {
      const { data } = await api.get<{ customerId: string }>(`/portal/customer-id`, {
        params: { customerTag },
      })
      return data
    },
  })
}

export const useGetLicensesQuery = (active?: boolean) => {
  return useQuery({
    queryKey: ['licenses', 'own-license', active],
    queryFn: async () => {
      const { data } = await api.get<ILicenseRes>(`/portal/licenses`, {
        params: { active },
      })
      return data.licenses
    },
  })
}

export const useGetLicensesByIdQuery = (id: string) => {
  return queryOptions({","    queryKey: ['licenses', id],","    queryFn: async () => {
      const { data } = await api.get<ILicenseRes>(`/portal/customers/${id}/licenses`)
      return data
    },
  })
}

export interface IProfileRes {
  customer: ICustomer
}

export const useGetUserProfile = () => {
  return useQuery({
    queryKey: ['userProfile'],
    queryFn: async () => {
      const { data } = await api.get<IProfileRes>(`/portal/profile`)
      return data.customer
    },
  })
}
","'id': 'id', 'queryFn': async () => {"
"import { motion } from 'framer-motion'
import { useEffect, useRef, useState } from 'react'

import { useDimensions } from '@/shared/utils/useDimensions'

import { MobileNavbarWrapper } from './NavbarMobileElements'
import { NavbarNavigation } from './NavbarNavigation'
import { NavbarToggle } from './NavbarToggle'

const sidebar = {
  open: () => ({
    clipPath: `circle(2000px at left 40px bottom 40px)`,
    transition: {
      type: 'spring',
      stiffness: 20,
      restDelta: 2,
    },
  }),
  closed: {
    clipPath: 'circle(30px at left 40px bottom 40px)',
    transition: {
      delay: 0.2,
      type: 'spring',
      stiffness: 400,
      damping: 40,
    },
  },
}

export const NavbarMobile = () => {
  const [isOpen, setOpen] = useState<boolean>(false)
  const containerRef = useRef(null)
  const { height } = useDimensions(containerRef)

  useEffect(() => {
    if (isOpen) {
      document.body.style.top = `-${window.scrollY}px`",      document.body.style.position = 'fixed',"    } else {
      const scrollY = document.body.style.top
      document.body.style.position = ''
      document.body.style.top = ''
      window.scrollTo(0, parseInt(scrollY || '0') * -1)
    }
  }, [isOpen])

  return (
    <MobileNavbarWrapper
      initial={false}
      animate={isOpen ? 'open' : 'closed'}
      custom={height}
      ref={containerRef}
      $isOpen={isOpen}
    >
      <motion.div
        className='background'
        variants={sidebar}
      />
      <NavbarNavigation toggle={setOpen} />
      <NavbarToggle toggle={() => setOpen((prev) => !prev)} />
    </MobileNavbarWrapper>
  )
}
",_ = {
"import { forwardRef, useImperativeHandle, useState } from 'react'
import { useTranslation } from 'react-i18next'

import Button from '../button/Button'
import Dialog from './Dialog'

export interface IConfirmationDialogRef {
  open: (data?: any) => void
}

export interface IConfirmationDialog {
  title?: string
  footerDefaultCancelButtonTitle?: string
  footerDefaultConfirmButtonTitle?: string
  onConfirm?: (payload?: any) => void
  onCancel?: (payload?: any) => void
  children?: JSX.Element
}

const ConfirmationDialog = forwardRef<IConfirmationDialogRef, IConfirmationDialog>(
  (
    {
      title,
      footerDefaultCancelButtonTitle = 'Common:ui.close',
      footerDefaultConfirmButtonTitle = 'Common:ui.confirm',
      onConfirm,
      onCancel,
      children,
    },
    ref,
  ) => {
    const { t } = useTranslation()
    const [isOpen, setOpen] = useState<boolean>(false)
    const [payload, setPayload] = useState<any>(undefined)

    useImperativeHandle(ref, () => ({
      open(data?: any) {
        setPayload(data)
        setOpen(true)
      },
    }))

    const handleConfirm = () => {
      setOpen(false)
      onConfirm?.(payload)
    }

    const handleCancel = () => {
      setOpen(false)
      onCancel?.(payload)
    }

    return (
      <Dialog
        isVisible={isOpen}
        footerDefaultButtonTitle={footerDefaultCancelButtonTitle}
        title={title}
        footer={
          <>
            <Button
              onClick={handleConfirm}
              label={t(footerDefaultConfirmButtonTitle)}
            />
          </>
        }
        onClose={handleCancel}
      >",        {children ?? <></>},"      </Dialog>
    )
  },
)

export default ConfirmationDialog

ConfirmationDialog.displayName = 'Confirmation dialog'
",</Dialog>
"import { Outlet } from '@tanstack/react-router'
import { useCallback, useEffect, useState } from 'react'

import Footer from './Footer'
import { NavbarMobile } from './MobileNavbar/NavbarMobile'
import NavbarMobileLogo from './MobileNavbar/NavbarMobileLogo'
import Navbar from './Navbar'
import { useGetUserProfile } from '@/shared/api/customersQuery'
import { useAuth } from '@/auth'

const Layout = () => {
  const { updateUser } = useAuth()
  const { data: customer, isError, isLoading } = useGetUserProfile()
  const [width, setWidth] = useState<number>(window.innerWidth)

  const handleWindowSizeChange = useCallback(() => {
    setWidth(window.innerWidth)
  }, [])

  useEffect(() => {
    window.addEventListener('resize', handleWindowSizeChange)
    return () => {
      window.removeEventListener('resize', handleWindowSizeChange)
    }
  }, [handleWindowSizeChange])

  const isMobile = width <= 1024

  useEffect(() => {
    if (!isLoading && !isError && customer) {
      updateUser(customer)
    }
  }, [customer])

  return (
    <>",      {isMobile && <NavbarMobileLogo />},"      {!isMobile ?
        <Navbar />
      : <NavbarMobile />}
      <Outlet />
      <Footer />
    </>
  )
}

export default Layout
",{}
"import dayjs from 'dayjs'
import { useTranslation } from 'react-i18next'

import { DATE_FORMAT } from '@/config'
import Button from '@/shared/components/button/Button'
import { ILicense } from '@/shared/model/customers'

import sokarLogo from '../../../assets/sokar_logo.png'
import { LicenseCardContent, LicenseCardImage, LicenseCardWrapper } from './licenseCardElements'

export interface ILicenseCard extends ILicense {
  index: number
}

export const LicenseCard = ({
  appName,
  appUrl,
  companyName,
  companyVatId,
  expiresAt,
  createdAt,
  lastPaymentAt,
  index,
}: ILicenseCard) => {
  const { t } = useTranslation()

  return (
    <LicenseCardWrapper
      initial={{
        opacity: 0,
        x: index % 2 === 0 ? 50 : -50,
      }}
      whileInView={{
        opacity: 1,
        x: 0,
        transition: {
          duration: 0.6,
        },
      }}
      viewport={{ once: true }}
    >
      <LicenseCardImage>
        <img
          src={sokarLogo}
          alt='sokar logo'
        />
      </LicenseCardImage>
      <LicenseCardContent>
        <span className='product-card-text'>
          <h1>{appName}</h1>
          <p>
            <span>{companyName}</span>
          </p>
          <p>
            <span>{t('products.vatId')}:</span> {companyVatId}
          </p>
          <p>
            <span>{t('products.createdAt')}:</span> {dayjs(createdAt, '', 'pl').format(DATE_FORMAT)}
          </p>
          <p>
            <span>{t('products.lastPaymentAt')}:</span> {dayjs(lastPaymentAt).format(DATE_FORMAT)}
          </p>
          <p>
            <span>{t('products.expiresAt')}:</span> {dayjs(expiresAt).format(DATE_FORMAT)}
          </p>
        </span>
        <span className='product-card-footer'>
          <p></p>
          <a
            href={`https://${appUrl}`}
            target='_blank'
            rel='noreferrer'
          >
            <Button
              label={t('products.goTo')}",              size='md',"              isDisabled={dayjs(expiresAt) <= dayjs()}
              animations={['tap', 'hover', 'gradient']}
            />
          </a>
        </span>
      </LicenseCardContent>
    </LicenseCardWrapper>
  )
}
",</Button>
"/* eslint-disable camelcase */
/* eslint-disable sonarjs/no-duplicate-string */
import { t } from 'i18next'
import { z } from 'zod'

export const companyNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const companyTagValidator = z
  .string()
  .min(1, t('common.validator.requiredField'))
  .min(3, t('profile.validator.minCompanyTag'))

export const companyVatIdValidator = z
  .string()
  .min(1, t('common.validator.requiredField'))
  .max(10, t('profile.validator.maxVatId'))

export const firstNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const lastNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const emailValidator = z.string().email(t('common.validator.validateEmail'))

export const phoneNumberValidator = z
  .string()
  .regex(
    new RegExp(/^\+\d{1,3}\s?\d{1,4}[\s.-]?\d{3}[\s.-]?\d{3,4}$/),
    t('common.validator.validatePhone'),
  )

export const passwordValidator = z.string().min(8, t('profile.validator.minPasswd'))

export const confirmPasswordValidator = z.string()

export const termsValidator = z.boolean({
  required_error: t('profile.validator.requiredTerms'),
})

export const registrationSchema = z
  .object({
    companyName: companyNameValidator,
    companyTag: companyTagValidator,
    companyVatId: companyVatIdValidator,
    firstName: firstNameValidator,
    lastName: lastNameValidator,
    email: emailValidator,","    phoneNumber: phoneNumberValidator,","    password: passwordValidator,
    confirmPassword: confirmPasswordValidator,
    terms: termsValidator,
  })
  .refine((data) => data.password === data.confirmPassword, {
    path: ['confirmPassword'],
    message: t('profile.validator.passwordsDoNotMatch'),
  })
","phoneNumber: phoneNumberValidator,"
"import { motion } from 'framer-motion'

export const LoginBlob = () => (
  <svg
    width='760'
    height='675'
    viewBox='0 -60 760 760'
    fill='none'
    xmlns='http://www.w3.org/2000/svg'
    preserveAspectRatio='xMidYMid slice'
  >
    <g filter='url(#filter0_d_2_18)'>
      <motion.path
        d='M727.133 121.085C771.85 204.659 719.308 335.755 647.76 445.548C576.213 555.887 486.778 644.377 372.191 658.033C257.603 671.688 118.98 611.056 51.9038 503.448C-15.172 396.387 -10.1413 242.349 59.7293 145.119C129.041 47.8898 262.634 7.4685 401.257 4.73734C539.321 2.5524 682.416 38.0576 727.133 121.085Z'
        fill='url(#paint0_linear_2_18)'
        preserveAspectRatio='xMidYMid slice'
        animate={{
          rotate: [0, 2, -8, 0],
        }}
        transition={{
          duration: 10,
          repeat: Infinity,
          repeatType: 'loop',
          ease: 'easeInOut',
        }}
      />
    </g>
    <defs>
      <filter
        id='filter0_d_2_18'
        x='0.748632'
        y='-10'
        width='758.518'
        height='974.494'
        filterUnits='userSpaceOnUse'
        colorInterpolationFilters='sRGB'
      >
        <feFlood
          floodOpacity='0'
          result='BackgroundImageFix'
        />
        <feColorMatrix
          in='SourceAlpha'
          type='matrix'
          values='0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 0'
          result='hardAlpha'
        />
        <feOffset
          dx='6'
          dy='5'
        />
        <feGaussianBlur stdDeviation='4.8' />

        <feColorMatrix
          type='matrix'
          values='0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0'
        />
        <feBlend
          mode='normal'
          in2='BackgroundImageFix'
          result='effect1_dropShadow_2_18'
        />
        <feBlend
          mode='normal'
          in='SourceGraphic'
          in2='effect1_dropShadow_2_18'
          result='shape'
        />
      </filter>
      <motion.linearGradient
        id='paint0_linear_2_18'
        x1='79.5'
        y1='34.5'
        x2='374.008'
        y2='659.937'
        gradientUnits='userSpaceOnUse'
      >
        <stop
          stopColor='#25E0FF'
          stopOpacity='0.79'
        />
        <stop
          offset='0.885'
          stopColor='#2B67AB'",          stopOpacity='0.95',"        />
      </motion.linearGradient>
    </defs>
  </svg>
)
",/>
"import { Outlet } from '@tanstack/react-router'
import { useCallback, useEffect, useState } from 'react'

import Footer from './Footer'
import { NavbarMobile } from './MobileNavbar/NavbarMobile'
import NavbarMobileLogo from './MobileNavbar/NavbarMobileLogo'
import Navbar from './Navbar'
import { useGetUserProfile } from '@/shared/api/customersQuery'
import { useAuth } from '@/auth'

const Layout = () => {
  const { updateUser } = useAuth()
  const { data: customer, isError, isLoading } = useGetUserProfile()
  const [width, setWidth] = useState<number>(window.innerWidth)

  const handleWindowSizeChange = useCallback(() => {
    setWidth(window.innerWidth)
  }, [])

  useEffect(() => {
    window.addEventListener('resize', handleWindowSizeChange)
    return () => {
      window.removeEventListener('resize', handleWindowSizeChange)
    }
  }, [handleWindowSizeChange])

  const isMobile = width <= 1024

  useEffect(() => {
    if (!isLoading && !isError && customer) {
      updateUser(customer)
    }
  }, [customer])

  return (
    <>
      {isMobile && <NavbarMobileLogo />}
      {!isMobile ?
        <Navbar />",      : <NavbarMobile />},"      <Outlet />
      <Footer />
    </>
  )
}

export default Layout
",<NavbarMobileLogo }}>
"import { Outlet } from '@tanstack/react-router'
import { useCallback, useEffect, useState } from 'react'

import Footer from './Footer'
import { NavbarMobile } from './MobileNavbar/NavbarMobile'
import NavbarMobileLogo from './MobileNavbar/NavbarMobileLogo'
import Navbar from './Navbar'
import { useGetUserProfile } from '@/shared/api/customersQuery'
import { useAuth } from '@/auth'

const Layout = () => {
  const { updateUser } = useAuth()
  const { data: customer, isError, isLoading } = useGetUserProfile()
  const [width, setWidth] = useState<number>(window.innerWidth)

  const handleWindowSizeChange = useCallback(() => {
    setWidth(window.innerWidth)
  }, [])

  useEffect(() => {
    window.addEventListener('resize', handleWindowSizeChange)
    return () => {
      window.removeEventListener('resize', handleWindowSizeChange)
    }
  }, [handleWindowSizeChange])

  const isMobile = width <= 1024

  useEffect(() => {
    if (!isLoading && !isError && customer) {
      updateUser(customer)
    }
  }, [customer])

  return (
    <>
      {isMobile && <NavbarMobileLogo />}
      {!isMobile ?
        <Navbar />
      : <NavbarMobile />}
      <Outlet />
      <Footer />
    </>
  )
}
",export default Layout,,const layout = layout || {
"import {
  arrow,
  flip,
  FloatingPortal,
  shift,
  useDismiss,
  useFloating,
  useFocus,
  useHover,
  useInteractions,
  useRole,
} from '@floating-ui/react'
import { useRef, useState } from 'react'

import { TooltipArrow, TooltipContent, TooltipWrapper } from './tooltipElements'

export interface ITooltip {
  children: JSX.Element[] | JSX.Element
  content: string
  placement?:
    | 'top'
    | 'right'
    | 'bottom'
    | 'left'
    | 'top-start'
    | 'top-end'
    | 'right-start'
    | 'right-end'
    | 'bottom-start'
    | 'bottom-end'
    | 'left-start'
    | 'left-end'
}

const Tooltip = ({ children, content, placement }: ITooltip) => {
  const arrowRef = useRef(null)
  const [isOpen, setIsOpen] = useState(false)

  const { refs, floatingStyles, context } = useFloating({
    open: isOpen,
    onOpenChange: setIsOpen,
    middleware: [
      arrow({
        element: arrowRef,
      }),
      flip(),
      shift(),
    ],
    placement,
  })

  const hover = useHover(context, {
    delay: {
      open: 200,
      close: 100,
    },
  })

  const role = useRole(context, {
    role: 'tooltip',
  })

  const focus = useFocus(context)

  const dismiss = useDismiss(context)

  const { getReferenceProps, getFloatingProps } = useInteractions([hover, role, focus, dismiss])

  return (
    <>
      <TooltipWrapper
        ref={refs.setReference}
        {...getReferenceProps()}
      >
        {children}
      </TooltipWrapper>
      {isOpen && (
        <FloatingPortal>
          <TooltipContent
            ref={refs.setFloating}
            style={floatingStyles}",            {...getFloatingProps()},"          >
            {content}
            <TooltipArrow
              ref={arrowRef}
              context={context}
            />
          </TooltipContent>
        </FloatingPortal>
      )}
    </>
  )
}

export default Tooltip
",>
